ensembl_gene_id,mgi_symbol,group1_1,group1_2,group1_3
ENSMUSG00000083061,Gm12191,6,4,3
ENSMUSG00000025175,Fn3k,2,1,1
ENSMUSG00000047420,Fam180a,20,13,160
ENSMUSG00000062783,Csprs,0,0,3
ENSMUSG00000076617,Ighm,2,0,4
ENSMUSG00000024806,Mlana,1,4,1
ENSMUSG00000067773,Defb41,0,0,1
ENSMUSG00000079457,Gm7609,1,3,15
ENSMUSG00000041992,Rapgef5,19,14,41
ENSMUSG00000068263,Efcc1,1,4,4
ENSMUSG00000042360,4930433N12Rik,0,0,0
ENSMUSG00000027386,Fbln7,30,25,334
ENSMUSG00000096802,Gm15433,0,0,7
ENSMUSG00000046999,1110032F04Rik,0,2,16
ENSMUSG00000032380,Dapk2,2,5,189
ENSMUSG00000061852,Gm7582,0,0,8
ENSMUSG00000027168,Pax6,13,39,0
ENSMUSG00000042834,Nrep,101,430,4889
ENSMUSG00000024682,Gif,1,3,0
ENSMUSG00000050321,Neto1,20,29,2
ENSMUSG00000053541,Gm4759,1,0,4
ENSMUSG00000085456,Gm15398,0,0,1
ENSMUSG00000090186,Gm7592,0,0,4
ENSMUSG00000090252,Gm16028,0,0,0
ENSMUSG00000044461,Shisa2,4,6,81
ENSMUSG00000044172,Ptx4,0,0,1
ENSMUSG00000089652,Gm16025,0,0,2
ENSMUSG00000026691,Fmo3,11,4,65
ENSMUSG00000081528,Gm12924,0,0,0
ENSMUSG00000045667,Smtnl2,34,22,912
ENSMUSG00000045288,Ush1g,0,0,14
ENSMUSG00000095514,D13Ertd608e,0,0,0
ENSMUSG00000029335,Bmp3,100,28,74
ENSMUSG00000041757,Plekha6,123,81,627
ENSMUSG00000091897,Gm17019,0,0,0
ENSMUSG00000025993,Slc40a1,40,86,92
ENSMUSG00000085180,AI838599,26,58,177
ENSMUSG00000052477,C130026I21Rik,0,2,8
ENSMUSG00000005373,Mlxipl,1,4,7
ENSMUSG00000016179,Camk1g,0,3,49
ENSMUSG00000027762,Sucnr1,1,4,46
ENSMUSG00000097440,Gm6277,1,2,8
ENSMUSG00000022032,Scara5,21,35,882
ENSMUSG00000094915,,0,2,0
ENSMUSG00000067203,H2-K2,4,2,2
ENSMUSG00000020486,4-Sep,38,22,117
ENSMUSG00000037660,Gdf7,6,13,9
